id;movieid;companyid
1;211672;33
2;211672;6704
3;297762;444
4;297762;507
5;297762;6194
6;297762;9993
7;297762;9995
8;297762;81620
9;297762;83838
10;321612;2
11;321612;10227
12;339403;443
13;339403;559
14;339403;2531
15;339403;10163
16;339403;31922
17;177572;2
18;177572;6125
19;283995;2
20;283995;420
21;19995;289
22;19995;306
23;19995;444
24;19995;574
25;245891;491
26;245891;6194
27;245891;23008
28;245891;36259
29;245891;36433
30;210577;306
31;210577;508
32;210577;10104
33;210577;15829
34;210577;22213
35;210577;60682
36;131631;1632
37;131631;5420
38;281338;7076
39;271110;264
40;271110;420
41;271110;3036
42;271110;84424
43;271110;84425
44;680;14
45;680;59
46;680;216
47;166426;2
48;166426;130
49;166426;2691
50;166426;20478
51;155;429
52;155;923
53;155;6194
54;155;9993
55;155;9996
56;78;5798
57;78;6194
58;78;7965
59;24428;4
60;24428;420
61;268531;521
62;268531;30246
63;339988;1785
64;339988;4171
65;339988;53299
66;316154;13184
67;316154;17209
68;316154;90733
69;198663;290
70;198663;306
71;198663;3672
72;198663;8569
73;198663;12292
74;198663;22213
75;119450;290
76;119450;7076
77;119450;22213
78;126889;306
79;126889;1645
80;126889;19747
81;126889;22213
82;315837;4
83;315837;27
84;315837;3407
85;315837;7294
86;315837;14439
87;315837;17449
88;315837;44311
89;315837;83645
90;315837;88981
91;315837;92138
92;315837;93466
93;348893;34070
94;244786;2266
95;244786;3172
96;244786;32157
97;550;306
98;550;508
99;550;711
100;550;20555
101;550;54050
102;550;54051
103;550;54052
104;406990;7460
105;406990;7561
106;406990;19037
107;406990;26591
108;406990;35916
109;406990;41813
110;440597;49389
111;440597;60621
112;284053;2
113;284053;420
114;118340;420
115;118340;20478
116;118340;54850
117;118340;76043
118;403119;7405
119;403119;13161
120;403119;63443
121;403119;79822
122;278;97
123;278;6194
124;360249;16076
125;360249;78093
126;353491;23
127;353491;433
128;353491;2531
129;353491;5752
130;324552;3528
131;324552;7571
132;324552;23008
133;337339;33
134;337339;333
135;337339;7154
136;13;4
137;22;2
138;22;130
139;460846;25473
140;460846;74795
141;258489;79
142;258489;552
143;258489;2596
144;258489;41624
145;258489;46339
146;258489;86565
147;258489;86566
148;274857;79
149;274857;433
150;274857;6194
151;274857;23202
152;274857;25577
153;284052;2
154;284052;420
155;297761;429
156;297761;444
157;297761;507
158;297761;6194
159;297761;9993
160;11;1
161;11;306
162;214756;33
163;214756;8789
164;214756;13778
165;214756;44783
166;214756;86655
167;424;33
168;424;56
169;61791;289
170;61791;290
171;61791;306
172;61791;444
173;61791;6332
174;61791;7076
175;61791;10893
176;294254;3672
177;294254;12292
178;294254;22213
179;238;4
180;238;10211
181;259316;437
182;259316;6194
183;129;10342
184;395834;3528
185;395834;27497
186;395834;68413
187;291805;491
188;291805;1632
189;291805;7296
190;291805;72441
191;637;14
192;637;370
193;335988;4
194;335988;435
195;335988;12087
196;335988;22826
197;397837;10991
198;397837;63484
199;671;436
200;671;6194
201;671;7364
202;417870;33
203;417870;49968
204;269795;8915
