id;movieid;spokenlanguageid
1;211672;en
2;297762;de
3;297762;en
4;321612;en
5;339403;en
6;177572;en
7;293660;en
8;283995;en
9;19995;en
10;19995;es
11;245891;hu
12;245891;en
13;245891;ru
14;210577;en
15;131631;en
16;281338;en
17;271110;ro
18;271110;en
19;271110;de
20;271110;ru
21;680;en
22;680;es
23;680;fr
24;166426;en
25;155;en
26;155;zh
27;78;en
28;78;de
29;78;cn
30;78;ja
31;78;hu
32;24428;en
33;268531;nl
34;268531;en
35;339988;en
36;316154;en
37;198663;en
38;119450;en
39;126889;en
40;315837;ja
41;315837;en
42;348893;en
43;244786;en
44;550;en
45;406990;en
46;440597;en
47;284053;en
48;263115;en
49;263115;es
50;118340;en
51;403119;en
52;278;en
53;360249;de
54;360249;no
55;353491;en
56;324552;en
57;324552;it
58;337339;en
59;13;en
60;22;en
61;460846;en
62;258489;en
63;274857;en
64;274857;th
65;284052;en
66;297761;en
67;11;en
68;214756;en
69;424;de
70;424;pl
71;424;he
72;424;en
73;61791;en
74;294254;en
75;238;en
76;238;it
77;238;la
78;259316;en
79;129;ja
80;395834;en
81;291805;zh
82;291805;en
83;637;en
84;637;de
85;637;it
86;335988;en
87;397837;en
88;671;en
89;417870;en
90;269795;en
91;99861;en
92;419430;en
93;539;en
94;228150;en
96;240;en
97;240;it
98;240;la
99;240;es
100;330459;en
101;240832;zh
102;240832;en
103;240832;fr
104;240832;es
105;240832;ko
106;395992;cn
107;395992;en
108;395992;ja
109;283366;en
110;399019;en
111;399019;fr
112;415214;my
113;415214;en
114;415214;zh
115;415214;th
116;339846;en
117;510;en
118;76338;en
119;378064;ja
120;372058;ja
121;19404;hi
122;296096;en
123;15206;en
124;24021;en
125;68726;en
126;282035;ar
127;282035;en
128;282035;th
129;378236;en
130;437031;es
131;312221;en
132;603;en
133;216015;en
134;135397;en
135;157336;en
136;311;en
137;311;fr
138;311;it
139;120;en
140;137113;en
141;397243;en
142;122917;en
143;140607;en
144;205596;en
145;209112;en
146;285;en
147;195590;de
148;195590;en
149;8966;en
150;1930;en
151;374720;en
152;374720;fr
153;374720;de
154;329865;zh
155;329865;en
156;329865;ru
157;76203;en
158;198184;en
159;87101;en
160;345914;en
161;345914;pt
162;18239;en
163;18239;it
164;672;en
165;58;en
166;58;tr
167;58;el
168;58;zh
169;293167;en
170;121;en
171;557;en
172;76341;en
173;122;en
174;10195;en
175;341174;en
176;27205;en
177;381288;en
178;246655;en
179;272;en
180;272;ur
181;272;zh
182;673;en
183;463906;en
184;463906;pt
185;207703;en
186;417830;en
187;1865;en
188;1865;es
189;262500;en
190;238636;en
191;559;en
192;559;fr
193;121856;en
194;121856;pt
195;121856;es
196;225886;en
197;168259;en
198;145135;en
199;597;en
200;597;fr
201;597;de
202;597;sv
203;597;it
204;597;ru
205;102899;en
206;1417;es
207;131634;en
208;585;en
209;102382;en
210;72190;en
211;50620;en
212;127585;en
213;269149;en
214;50619;en
215;50619;pt
216;141052;en
217;300669;en
218;300669;uk
219;105;en
220;286217;en
221;286217;zh
222;12;en
223;339967;en
224;101299;en
225;238615;en
226;24;en
227;24;ja
228;24;fr
229;109439;en
230;12445;en
231;206647;fr
232;206647;en
233;206647;es
234;206647;it
235;206647;de
236;347882;en
237;374430;en
238;674;en
239;674;fr
240;93456;en
241;136835;en
242;382614;en
243;14564;en
244;11187;cs
245;11187;en
246;258230;en
247;428449;en
248;397422;en
249;18;en
250;18;sv
251;18;de
252;109445;en
253;404733;en
254;404733;fr
255;404733;de
256;150540;en
257;564;en
258;564;ar
259;38365;en
260;40096;pt
261;18785;en
262;68721;en
263;8840;en
264;176;en
265;281957;en
266;281957;fr
267;10020;fr
268;10020;en
269;416477;en
270;416477;ur
271;348;en
272;348;es
273;12444;en
274;49051;en
275;305470;en
276;250546;en
277;158015;en
278;98;en
279;36557;en
280;36557;fr
281;9325;en
282;345922;en
283;396535;ko
284;280;en
285;280;es
286;62;en
287;62;ru
288;98566;en
289;158852;en
290;20352;en
291;9806;fr
292;9806;en
293;13448;en
294;13448;it
295;13448;la
296;13448;fr
297;13448;de
298;13448;zh
299;270946;en
300;620;en
301;1726;en
302;1726;fa
303;1726;ur
304;1726;ar
305;630;en
306;118;en
307;207933;en
308;862;en
309;45243;en
310;45243;th
311;340677;en
312;340677;fr
313;314095;en
314;314095;de
315;314095;pt
316;314095;es
317;679;en
318;857;cs
319;857;de
320;857;en
321;857;fr
322;11321;en
