id;company_id;name
1;;Lucasfilm
2;;Walt Disney Pictures
3;;Pixar Animation Studios
4;;Paramount Pictures
5;;Columbia Pictures
6;;RKO Radio Pictures
9;;Gaumont
11;;WingNut Films
12;;New Line Cinema
13;;Universal Studios
14;;Miramax Films
23;;Imagine Entertainment
27;;DreamWorks SKG
33;;Universal Pictures
35;;Lions Gate Films
41;;Orion Pictures
43;;Fox Searchlight Pictures
44;;Cruise/Wagner Productions
56;;Amblin Entertainment
58;;Sony Pictures Classics
59;;A Band Apart
60;;United Artists
68;;Big Primate Pictures
69;;MFPV Film
70;;American Zoetrope
79;;Village Roadshow Pictures
80;;The Zanuck Company
81;;Plan B Entertainment
84;;Tree Line Films
85;;Konrad Pictures
88;;Hawk Films
97;;Castle Rock Entertainment
104;;Canal Plus
126;;Lakeshore Entertainment
130;;Jerry Bruckheimer Films
152;;Icon Productions
158;;Spyglass Entertainment
163;;Revolution Films
171;;Malpaso Productions
174;;Warner Bros. Pictures
175;;Caravan Pictures
177;;Columbia TriStar
181;;Channel Four Films
183;;Le Studio Canal+
185;;Pandora Cinema
191;;Senator Film Produktion
215;;Double Feature Films
216;;Jersey Films
240;;Bazmark Films
258;;Scott Rudin Productions
264;;Studio Babelsberg
284;;DNA Films
286;;Fantasy Films
288;;BBC Films
289;;Ingenious Film Partners
290;;Ingenious Media
306;;Twentieth Century Fox Film Corporation
308;;The Weinstein Company
326;;Laura Ziskin Productions
333;;Original Film
342;;Davis-Films
347;;Centropolis Entertainment
358;;Noel Gay Motion Picture Company
359;;Figment Films
367;;Kemp Company
368;;Splendid Pictures
370;;Melampo Cinematografica
372;;Groucho II Film Partnership
373;;Asymmetrical Productions
385;;Stanley Kubrick Productions
388;;Horizon Pictures
396;;SLM Production Group
419;;Embassy Pictures Corporation
420;;Marvel Studios
421;;Amen Ra Films
429;;DC Comics
433;;Weed Road Pictures
435;;Di Bonaventura Pictures
436;;1492 Pictures
437;;Heyday films
441;;Columbia Pictures Corporation
443;;Big Talk Productions
444;;Dune Entertainment
445;;Major Studio Partners
449;;Virtual Studios
450;;Anarchos Productions
455;;Permut Presentations
462;;Patalex IV Productions Limited
469;;Hemdale Film Corporation
491;;Summit Entertainment
497;;Revolution Studios
506;;Newmarket Capital Group
507;;Atlas Entertainment
508;;Regency Enterprises
