id;movieid;genreid
1;211672;10751
2;211672;16
3;211672;12
4;211672;35
5;297762;28
6;297762;12
7;297762;14
8;321612;10751
9;321612;14
10;321612;10749
11;339403;28
12;339403;80
13;177572;12
14;177572;10751
15;177572;16
16;177572;28
17;177572;35
18;293660;28
19;293660;12
20;293660;35
21;283995;28
22;283995;12
23;283995;35
24;283995;878
25;19995;28
26;19995;12
27;19995;14
28;19995;878
29;245891;28
30;245891;53
31;210577;9648
32;210577;53
33;210577;18
34;131631;878
35;131631;12
36;131631;53
37;281338;18
38;281338;878
39;281338;10752
40;271110;12
41;271110;28
42;271110;878
43;680;53
44;680;80
45;166426;12
46;166426;28
47;166426;14
48;166426;35
49;155;18
50;155;28
51;155;80
52;155;53
53;78;878
54;78;18
55;78;53
56;24428;878
57;24428;28
58;24428;12
59;268531;28
60;268531;16
61;268531;35
62;268531;10751
63;339988;18
64;339988;53
65;339988;878
66;316154;53
67;316154;10749
68;316154;878
69;198663;28
70;198663;9648
71;198663;878
72;198663;53
73;119450;878
74;119450;28
75;119450;18
76;119450;53
77;126889;27
78;126889;878
79;126889;53
80;315837;28
81;315837;878
82;315837;53
83;348893;53
84;348893;28
85;348893;80
86;244786;18
87;550;18
88;406990;878
89;406990;53
90;440597;14
91;440597;27
92;440597;53
93;284053;28
94;284053;12
95;284053;14
96;284053;878
97;263115;28
98;263115;18
99;263115;878
100;118340;28
101;118340;878
102;118340;12
103;403119;18
104;403119;53
105;403119;27
106;403119;12
107;278;18
108;278;80
109;360249;28
110;360249;12
111;360249;18
112;353491;28
113;353491;37
114;353491;878
115;353491;14
116;353491;27
117;324552;53
118;324552;28
119;324552;80
120;337339;28
121;337339;80
122;337339;53
123;13;35
124;13;18
125;13;10749
126;22;12
127;22;14
128;22;28
129;460846;28
130;258489;28
131;258489;12
132;274857;28
133;274857;18
134;274857;14
135;284052;28
136;284052;12
137;284052;14
138;284052;878
139;297761;28
140;297761;12
141;297761;80
142;297761;14
143;297761;878
144;11;12
145;11;28
146;11;878
147;214756;35
148;424;18
149;424;36
150;424;10752
151;61791;53
152;61791;28
153;61791;18
154;61791;878
155;294254;28
156;238;18
157;238;80
158;259316;12
159;259316;10751
160;259316;14
161;129;14
162;129;12
163;129;16
164;129;10751
165;395834;28
166;395834;80
167;395834;9648
168;395834;53
169;291805;28
170;291805;12
171;291805;35
172;291805;80
173;291805;9648
174;291805;53
175;637;35
176;637;18
177;335988;28
178;335988;878
179;335988;53
180;335988;12
181;397837;9648
182;397837;18
183;397837;53
184;671;12
185;671;14
186;671;10751
187;417870;35
188;269795;18
189;269795;53
190;99861;28
191;99861;12
192;99861;878
193;419430;9648
194;419430;53
195;419430;27
196;539;18
197;539;27
198;539;53
199;228150;10752
200;228150;18
201;228150;28
207;240;18
208;240;80
209;330459;28
210;330459;12
211;330459;878
212;240832;28
213;240832;878
214;395992;27
215;395992;878
216;395992;53
217;283366;18
218;283366;14
219;283366;12
220;399019;18
221;399019;37
222;415214;28
223;415214;12
224;339846;28
225;339846;35
226;510;18
227;76338;28
228;76338;12
229;76338;14
230;378064;16
231;378064;18
232;372058;10749
233;372058;16
234;372058;18
235;19404;35
236;19404;18
237;19404;10749
238;296096;18
239;296096;10749
240;15206;27
241;24021;12
242;24021;14
243;24021;18
244;24021;10749
245;68726;28
246;68726;878
247;68726;12
248;282035;53
249;282035;28
250;282035;12
251;378236;35
252;378236;10751
253;378236;16
254;437031;10752
255;312221;18
256;603;28
257;603;878
258;216015;18
259;216015;10749
260;216015;53
261;135397;28
262;135397;12
263;135397;878
264;135397;53
265;157336;12
266;157336;18
267;157336;878
268;311;18
269;311;80
270;120;12
271;120;14
272;120;28
273;137113;28
274;137113;878
275;397243;27
276;397243;9648
277;122917;28
278;122917;12
279;122917;14
280;140607;28
281;140607;12
282;140607;878
283;140607;14
284;205596;36
285;205596;18
286;205596;53
287;205596;10752
288;209112;28
289;209112;12
290;209112;14
291;285;12
292;285;14
293;285;28
294;195590;53
295;195590;28
296;8966;12
297;8966;14
298;8966;18
299;8966;10749
300;1930;28
301;1930;12
302;1930;14
303;374720;28
304;374720;18
305;374720;36
306;374720;53
307;374720;10752
308;329865;53
309;329865;18
310;329865;878
311;329865;9648
312;76203;18
313;76203;36
314;198184;80
315;198184;28
316;198184;878
317;87101;878
318;87101;28
319;87101;53
320;87101;12
321;345914;35
322;18239;12
323;18239;14
324;18239;18
325;18239;10749
326;672;12
327;672;14
328;672;10751
329;58;12
330;58;14
331;58;28
332;293167;28
333;293167;12
334;293167;14
335;121;12
336;121;14
337;121;28
338;557;14
339;557;28
340;76341;28
341;76341;12
342;76341;878
343;76341;53
344;122;12
345;122;14
346;122;28
347;10195;12
348;10195;14
349;10195;28
350;341174;18
351;341174;10749
352;27205;28
353;27205;53
354;27205;878
355;27205;9648
356;27205;12
357;381288;27
358;381288;53
359;246655;878
360;272;28
361;272;80
362;272;18
363;673;12
364;673;14
365;673;10751
366;463906;28
367;463906;12
368;463906;80
369;207703;80
370;207703;35
371;207703;28
372;207703;12
373;417830;35
374;417830;10751
375;1865;12
376;1865;28
377;1865;14
378;262500;12
379;262500;878
380;262500;53
381;238636;27
382;238636;53
383;559;14
384;559;28
385;559;12
386;121856;28
387;121856;12
388;121856;878
389;225886;35
390;168259;28
391;145135;878
392;145135;53
393;145135;27
394;597;18
395;597;10749
396;597;53
397;102899;878
398;102899;28
399;102899;12
400;1417;14
401;1417;18
402;1417;10752
403;131634;28
404;131634;12
405;131634;878
406;585;16
407;585;35
408;585;10751
409;102382;28
410;102382;12
411;102382;14
412;72190;28
413;72190;18
414;72190;27
415;72190;878
416;72190;53
417;50620;12
418;50620;14
419;50620;18
420;50620;10749
421;127585;28
422;127585;12
423;127585;14
424;127585;878
425;269149;16
426;269149;12
427;269149;10751
428;269149;35
429;50619;12
430;50619;14
431;50619;10749
432;141052;28
433;141052;12
434;141052;14
435;141052;878
436;300669;80
437;300669;27
438;300669;53
439;105;12
440;105;35
441;105;878
442;105;10751
443;286217;18
444;286217;12
445;286217;878
446;12;16
447;12;10751
448;339967;28
449;339967;35
450;339967;18
451;339967;14
452;339967;878
453;101299;12
454;101299;28
455;101299;878
456;238615;878
457;238615;9648
458;238615;53
459;24;28
460;24;80
461;109439;35
462;12445;10751
463;12445;14
464;12445;12
465;206647;28
466;206647;12
467;206647;80
468;347882;18
469;347882;53
470;347882;28
471;347882;878
472;374430;18
473;374430;27
474;374430;9648
475;374430;878
476;374430;53
477;374430;10770
478;674;12
479;674;14
480;674;10751
481;93456;16
482;93456;35
483;93456;10751
484;136835;80
485;136835;53
486;382614;53
487;382614;18
488;382614;80
489;14564;27
490;11187;53
491;11187;27
492;11187;28
493;258230;18
494;258230;14
495;428449;18
496;428449;14
497;428449;10749
498;397422;18
499;397422;35
500;18;12
501;18;14
502;18;28
503;18;53
504;18;878
505;109445;16
506;109445;12
507;109445;10751
508;404733;53
509;404733;28
510;150540;18
511;150540;35
512;150540;16
513;150540;10751
514;564;12
515;564;28
516;564;14
517;38365;35
518;40096;12
519;40096;35
520;40096;18
521;18785;35
522;68721;28
523;68721;12
524;68721;878
525;8840;14
526;176;27
527;176;9648
528;176;80
529;281957;37
530;281957;18
531;281957;12
532;281957;53
533;10020;10749
534;10020;10751
535;10020;16
536;10020;14
537;10020;10402
538;416477;35
539;416477;18
540;416477;10749
541;348;27
542;348;28
543;348;53
544;348;878
545;12444;12
546;12444;14
547;12444;10751
548;49051;12
549;49051;14
550;49051;28
551;305470;28
552;305470;12
553;305470;878
554;250546;27
555;158015;878
556;158015;27
557;158015;53
558;98;28
559;98;18
560;98;12
561;36557;12
562;36557;28
563;36557;53
564;9325;10751
565;9325;16
566;9325;12
567;345922;35
568;396535;28
569;396535;27
570;396535;53
571;280;28
572;280;53
573;280;878
574;62;878
575;62;9648
576;62;12
577;98566;878
578;98566;28
579;98566;12
580;98566;14
581;98566;35
582;158852;12
583;158852;10751
584;158852;9648
585;158852;878
586;20352;16
587;20352;10751
588;9806;28
589;9806;12
590;9806;16
591;9806;10751
592;13448;53
593;13448;9648
594;270946;10751
595;270946;16
596;270946;12
597;270946;35
598;620;35
599;620;14
600;1726;28
601;1726;878
602;1726;12
603;630;12
604;630;10751
605;630;14
606;118;12
607;118;35
608;118;10751
609;118;14
610;207933;53
611;862;16
612;862;35
613;862;10751
614;45243;35
615;340677;80
616;340677;18
617;340677;53
618;314095;28
619;314095;12
620;314095;18
621;314095;36
622;679;27
623;679;28
624;679;53
625;679;878
626;857;18
627;857;36
628;857;10752
629;11321;18
630;8587;10751
631;8587;16
632;8587;18
633;157350;12
634;157350;28
635;157350;878
636;393;28
637;393;80
638;393;53
639;10491;9648
640;10491;18
641;10491;53
642;10491;10749
643;10491;10752
644;357096;27
645;357096;53
646;76757;878
647;76757;14
648;76757;28
649;76757;12
650;675;12
651;675;14
652;675;10751
653;675;9648
654;8358;12
655;8358;18
656;242582;80
657;242582;18
658;242582;53
659;20526;12
660;20526;28
661;20526;878
662;277216;18
663;277216;10402
664;10674;16
665;10674;10751
666;10674;12
667;257344;28
668;257344;35
669;257344;878
670;28468;10749
671;28468;18
672;2501;28
673;2501;18
674;2501;9648
675;2501;53
676;324786;18
677;324786;36
678;324786;10752
679;1402;18
680;227159;35
681;455661;10751
682;455661;16
683;455661;10749
684;455661;35
685;296;28
686;296;53
687;296;878
688;197;28
689;197;18
690;197;36
691;197;10752
692;14;18
693;420648;27
694;420648;53
695;420648;35
696;203835;53
697;203835;27
698;273477;35
699;273477;27
700;180;28
701;180;53
702;180;878
703;180;9648
704;188927;28
705;188927;12
706;188927;878
707;57158;12
708;57158;14
709;277;14
710;277;28
711;277;53
712;189;80
713;189;53
714;49026;28
715;49026;80
716;49026;18
717;49026;53
718;254128;28
719;254128;18
720;254128;53
721;2062;16
722;2062;35
723;2062;10751
724;2062;14
725;418078;27
726;418078;9648
727;418078;53
728;109491;14
729;109491;18
730;109491;10749
731;101;53
732;101;80
733;101;18
734;2502;28
735;2502;18
736;2502;53
737;461053;28
738;461053;80
739;461053;53
740;270303;27
741;270303;53
742;15163;18
743;273248;80
744;273248;18
745;273248;9648
746;273248;37
747;37724;28
748;37724;12
749;37724;53
750;274870;12
751;274870;18
752;274870;10749
753;274870;878
754;744;28
755;744;10749
756;744;10752
757;293768;18
758;293768;53
759;752;28
760;752;53
761;752;14
762;278154;12
763;278154;16
764;278154;10751
765;278154;35
766;76812;53
767;335797;16
768;335797;35
769;335797;18
770;335797;10751
771;335797;10402
772;70160;878
773;70160;12
774;70160;14
775;346672;28
776;346672;14
777;346672;27
778;17774;28
779;17774;53
780;497;14
781;497;18
782;497;80
783;326285;18
784;146;12
785;146;18
786;146;28
787;146;10749
788;259695;80
789;259695;18
790;646;12
791;646;28
792;646;53
793;74;12
794;74;53
795;74;878
796;207;18
797;85;12
798;85;28
799;5968;35
800;5968;10749
801;640;18
802;640;80
803;10585;27
804;10585;53
805;301875;18
806;301875;10749
807;301875;878
808;150689;10749
809;150689;14
810;150689;10751
811;150689;18
812;68718;18
813;68718;37
814;254;12
815;254;18
816;254;28
817;578;27
818;578;53
819;578;12
820;313369;35
821;313369;18
822;313369;10402
823;313369;10749
824;12271;18
825;225574;28
826;225574;53
827;225574;9648
828;72105;35
829;72105;14
830;197796;14
831;197796;10749
832;694;27
833;694;53
834;184315;28
835;184315;12
836;616;18
837;616;28
838;616;10752
839;616;36
840;10679;28
841;10679;35
842;10679;878
843;181533;12
844;181533;35
845;181533;14
846;181533;10751
847;37686;53
848;37686;878
849;37686;9648
850;11532;28
851;11532;12
852;11532;18
853;273481;28
854;273481;80
855;273481;18
856;273481;9648
857;273481;53
858;1891;12
859;1891;28
860;1891;878
861;102651;14
862;102651;12
863;102651;28
864;102651;10751
865;102651;10749
866;375794;35
867;27586;18
868;27586;10402
869;9738;28
870;9738;12
871;9738;14
872;9738;878
873;601;878
874;601;12
875;601;10751
876;601;14
877;627;18
878;627;80
879;14160;16
880;14160;35
881;14160;10751
882;14160;12
883;1771;28
884;1771;12
885;1771;878
886;1969;28
887;1969;35
888;1969;37
889;1969;80
890;218;28
891;218;53
892;218;878
893;39254;28
894;39254;878
895;39254;18
896;280996;18
897;280996;9648
898;923;27
899;307663;53
900;307663;878
901;307663;28
902;307663;12
903;190859;10752
904;190859;28
905;292280;27
906;292280;53
907;17578;12
908;17578;16
909;17578;9648
910;260514;10751
911;260514;35
912;260514;16
913;260514;12
914;11679;28
915;11679;12
916;11679;80
917;11679;18
918;11679;9648
919;11679;53
920;324668;28
921;324668;53
922;1724;878
923;1724;28
924;1724;12
925;268;14
926;268;28
927;1949;80
928;1949;18
929;1949;9648
930;1949;53
931;767;12
932;767;14
933;767;10751
934;10138;12
935;10138;28
936;10138;878
937;955;12
938;955;28
939;955;53
940;9792;27
941;9792;53
942;15255;28
943;15255;80
944;15255;53
945;254302;18
946;2059;12
947;2059;28
948;2059;53
949;2059;9648
950;2133;18
951;340666;18
952;340666;53
953;920;16
954;920;12
955;920;35
956;920;10751
957;36648;878
958;36648;28
959;36648;27
960;36648;53
961;36648;12
962;36648;14
963;27;18
964;27;10402
965;27;10749
966;2005;10402
967;2005;35
968;1573;28
969;1573;53
970;267935;12
971;267935;10751
972;267935;14
973;568;18
974;58595;12
975;58595;14
976;58595;18
977;100402;28
978;100402;12
979;100402;878
980;345915;28
981;345915;35
982;345915;53
983;58574;12
984;58574;28
985;58574;80
986;58574;9648
987;13486;14
988;13486;28
989;13486;12
990;9982;16
991;9982;10751
992;9982;35
993;374473;18
994;591;53
995;591;9648
996;15159;35
997;15159;9648
998;10711;28
999;10711;80
1000;10711;18
1001;10711;53
1002;49521;28
1003;49521;12
1004;49521;14
1005;49521;878
1006;1422;18
1007;1422;53
1008;1422;80
1009;12244;28
1010;12244;12
1011;12244;16
1012;12244;878
1013;12244;53
1014;49047;878
1015;49047;53
1016;49047;18
1017;106;878
1018;106;28
1019;106;12
1020;106;53
1021;91314;878
1022;91314;28
1023;91314;12
1024;138832;35
1025;138832;80
1026;324560;9648
1027;324560;53
1028;324560;37
1029;11544;16
1030;11544;10751
1031;9543;12
1032;9543;14
1033;9543;28
1034;9543;10749
1035;807;80
1036;807;9648
1037;807;53
1038;10538;28
1039;10538;12
1040;10538;53
1041;745;9648
1042;745;53
1043;745;18
1044;133805;18
1045;133805;27
1046;262504;12
1047;262504;878
1048;2105;35
1049;2105;10749
1050;6068;28
1051;6068;12
1052;6068;35
1053;6068;10749
1054;207932;53
1055;141;14
1056;141;18
1057;141;9648
1058;363676;18
1059;363676;36
1060;136797;28
1061;136797;80
1062;136797;18
1063;136797;53
1064;7220;28
1065;7220;80
1066;7220;18
1067;654;80
1068;654;18
1069;426;9648
1070;426;10749
1071;426;53
1072;792;18
1073;792;10752
1074;792;28
1075;194662;18
1076;194662;35
1077;1535;28
1078;1535;80
1079;1535;53
1080;1018;53
1081;1018;18
1082;1018;9648
1083;2503;28
1084;2503;18
1085;2503;9648
1086;2503;53
1087;73;18
1088;81870;12
1089;81870;28
1090;703;35
1091;703;18
1092;703;10749
1093;411;12
1094;411;10751
1095;411;14
1096;1271;28
1097;1271;12
1098;1271;10752
