id;movieid;countryid
1;211672;US
2;297762;US
3;321612;GB
4;321612;US
5;339403;GB
6;339403;US
7;177572;US
8;293660;US
9;283995;US
10;19995;US
11;19995;GB
12;245891;CA
13;245891;CN
14;245891;US
15;210577;US
16;131631;US
17;281338;CA
18;281338;US
19;271110;US
20;680;US
21;166426;US
22;155;GB
23;155;US
24;78;US
25;78;HK
26;78;GB
27;24428;US
28;268531;US
29;339988;US
30;316154;US
31;198663;US
32;119450;US
33;126889;AU
34;126889;CA
35;126889;NZ
36;126889;GB
37;126889;US
38;315837;AU
39;315837;NZ
40;315837;US
41;315837;GB
42;315837;IN
43;315837;CN
44;315837;CA
45;315837;JP
46;315837;HK
47;348893;BG
48;244786;US
49;550;DE
50;550;US
51;406990;BE
52;406990;FR
53;406990;GB
54;406990;US
55;440597;CA
56;284053;AU
57;263115;US
58;118340;GB
59;118340;US
60;403119;GB
61;278;US
62;360249;NO
63;353491;ZA
64;353491;US
65;324552;US
66;337339;US
67;13;US
68;22;US
69;460846;US
70;258489;CA
71;258489;GB
72;258489;US
73;274857;US
74;284052;US
75;297761;US
76;11;US
77;214756;US
78;424;US
79;61791;US
80;294254;US
81;238;US
82;259316;GB
83;259316;US
84;129;JP
85;395834;GB
86;395834;US
87;395834;CA
88;291805;CA
89;291805;CN
90;291805;GB
91;291805;US
92;637;IT
93;335988;US
94;397837;US
95;671;GB
96;671;US
97;417870;US
98;269795;AU
99;269795;US
100;99861;US
101;419430;US
102;539;US
103;228150;GB
104;228150;US
105;228150;CN
107;240;US
108;330459;US
109;240832;FR
110;240832;US
111;395992;US
112;283366;BE
113;283366;GB
114;283366;US
115;399019;US
116;415214;HK
117;415214;CN
118;339846;US
119;510;US
120;76338;US
121;378064;JP
122;372058;JP
123;19404;IN
124;296096;US
125;15206;IT
126;15206;US
127;24021;US
128;68726;US
129;68726;CA
130;282035;US
131;378236;US
132;437031;ES
133;312221;US
134;603;AU
135;603;US
136;216015;US
137;135397;US
138;157336;CA
139;157336;US
140;157336;GB
141;311;US
142;311;IT
143;120;NZ
144;120;US
145;137113;AU
146;137113;US
147;397243;GB
148;397243;US
149;122917;NZ
150;122917;US
151;140607;US
152;205596;GB
153;209112;US
154;285;US
155;195590;CN
156;195590;DE
157;195590;GB
158;8966;US
159;1930;US
160;374720;NL
161;374720;FR
162;374720;GB
163;374720;US
164;329865;US
165;76203;US
166;76203;GB
167;198184;MX
168;198184;ZA
169;198184;US
170;87101;US
171;345914;US
172;18239;US
173;672;DE
174;672;GB
175;672;US
176;58;US
177;293167;US
178;121;NZ
179;121;US
180;557;US
181;76341;AU
182;76341;US
183;122;NZ
184;122;US
185;10195;US
186;341174;US
187;27205;GB
188;27205;US
189;381288;US
190;246655;US
191;272;GB
192;272;US
193;673;GB
194;673;US
195;463906;US
196;207703;GB
197;207703;US
198;417830;US
199;1865;US
